Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Rupeek,https://www.crunchbase.com/organization/rupeek,"Financial Services, Internet, Lending","Bangalore, Karnataka, India","Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",https://rupeek.com/,2015-01-01,year,"Financial Services, Internet Services",1001-5000,,,-0.4,3.6,6.1,,,,,,,,,,,,,19,0%,3,197,0%,36,"138,968","1,102,182.33",40.45%,"306,501","-68,853",-18.34%,Asia-Pacific (APAC),$1M to $10M,Active,2022-09-07,,,,10,,2022-09-07,16000000,USD,16000000,Venture - Series Unknown,188830000,USD,188830000
8x8,https://www.crunchbase.com/organization/8x8-inc,"Information Technology, SaaS, Software, Telecommunications, Virtual Reality, VoIP","San Jose, California, United States","8x8 offers secure and reliable cloud-based, enterprise-class business phone systems, unified communications, and contact center solutions.",https://www.8x8.com,1987-01-01,year,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",501-1000,EGHT,https://www.crunchbase.com/ipo/8x8-inc-ipo--b77eaafa,0.7,6,7.8,43380281,USD,43380281,6944167,USD,6944167,1309325,USD,1309325,13,Made Acquisitions,2.9,75,1.35%,9,"458,797",0%,77,"1,468,478","3,826,522.83",-15.33%,"51,584","8,028",18.43%,"San Francisco Bay Area, Silicon Valley, West Coast",$100M to $500M,Active,2023-01-18,14438442,USD,14438442,3,IPO,2022-01-18,121874464,USD,121874464,Post-IPO Equity,253074464,USD,253074464
Optimizely,https://www.crunchbase.com/organization/optimizely,"Advertising, Consulting, Contact Management, Content Marketing, Customer Service, Data Integration, Data Visualization, Developer Tools, SaaS, Web Design","New York, New York, United States","Optimizely is a digital experience platform for unlocking digital potential, content, commerce, and optimization.",https://www.optimizely.com,2010-01-01,month,"Advertising, Data and Analytics, Design, Information Technology, Other, Professional Services, Sales and Marketing, Software",1001-5000,,,0.4,5.1,6.1,,,,,,,,,,4,"Made Acquisitions, Was Acquired",2.1,81,1.25%,,,0%,98,"460,553","568,695.67",-28.47%,"126,468","31,517",33.19%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2020-07-15,,,,9,M&A,2019-06-18,55000000,USD,55000000,Debt Financing,251200000,USD,251200000
Teladoc Health,https://www.crunchbase.com/organization/teladoc,"Health Care, Hospital, mHealth","Purchase, New York, United States","Teladoc is a global provider of  virtual care, transforming the access, cost, and quality dynamics of health care delivery.",https://teladochealth.com,2002-01-01,year,"Health Care, Mobile",1001-5000,TDOC,https://www.crunchbase.com/ipo/teladoc-ipo--82ee516c,-0.4,6.6,-0.5,,,,,,,,,,12,Made Acquisitions,0.4,32,0%,17,"220,939",0%,46,"166,893","218,011.33",60.68%,"267,834","-94,635",-26.11%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2023-01-18,,,,6,IPO,2016-07-12,80000000,USD,80000000,Post-IPO Debt,172850085,USD,172850085
Indigo,https://www.crunchbase.com/organization/indigoag,"Agriculture, AgTech, Farming, GreenTech","Boston, Massachusetts, United States","Indigo uses natural microbiology and digital technologies to improve grower profitability, sustainability, and consumer health.",http://www.indigoag.com/,2014-01-01,year,"Agriculture and Farming, Sustainability",1001-5000,,,-0.8,-1.6,5.4,12597887,USD,12597887,2093697,USD,2093697,442278,USD,442278,2,Made Acquisitions,2.6,50,0%,5,,0%,130,"17,217","24,344.5",-30.46%,"1,358,665","374,347",38.03%,"Greater Boston Area, East Coast, New England",$10M to $50M,Active,2021-02-09,3312192,USD,3312192,10,Late Stage Venture,2020-08-03,360000000,USD,360000000,Series F,1169000000,USD,1169000000
Carbon Health,https://www.crunchbase.com/organization/carbon-health,"Electronic Health Record (EHR), Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States",Carbon Health is a tech-enabled healthcare company that delivers a virtual care experience.,https://carbonhealth.com,2015-01-01,year,"Apps, Health Care, Mobile, Software",501-1000,,,-1.4,8.4,9.6,,,,,,,,,,4,Made Acquisitions,1.3,44,0%,5,"89,595",0%,129,"620,587","774,636.67",11.44%,"101,080","-4,850",-4.58%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,2023-01-09,,,,9,Late Stage Venture,2023-01-09,100000000,USD,100000000,Series D,622500000,USD,622500000
Huobi,https://www.crunchbase.com/organization/huobi,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Beijing, Beijing, China","Huobi is a global blockchain asset financial services provider including exchange, trade, wallet, and storage.",https://www.huobi.com,2013-01-01,year,"Financial Services, Other, Payments, Software",1001-5000,,,-1.1,0,-1.5,,,,,,,,,,3,"Made Acquisitions, Was Acquired",,13,0%,5,,0%,51,"9,782,206","6,996,228",-10.97%,"10,195","1,384",15.71%,Asia-Pacific (APAC),$1M to $10M,Active,2023-01-06,,,,5,M&A,2020-12-01,,,,Initial Coin Offering,2000000,USD,2000000
Sisense,https://www.crunchbase.com/organization/sisense,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Visualization, Enterprise Software, Information Technology, Software","New York, New York, United States",Sisense is the leading AI-driven platform for infusing analytics everywhere.,http://www.sisense.com,2004-01-01,year,"Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software",501-1000,,,-0.5,-0.3,6.3,,,,,,,,,,1,Made Acquisitions,,55,0%,3,3,0%,62,"333,238","404,393.5",16.59%,"161,057","-12,704",-7.31%,"Greater New York Area, East Coast, Northeastern US",$50M to $100M,Active,,,,,9,Late Stage Venture,2020-01-09,100000000,USD,100000000,Series F,274741000,USD,274741000
Invitae,https://www.crunchbase.com/organization/invitae-corporation,"Biotechnology, Genetics, Health Care","San Francisco, California, United States",Invitae is a medical genetics company that bring comprehensive genetic information into mainstream medicine to improve healthcare.,http://invitae.com,2010-01-01,year,"Biotechnology, Health Care, Science and Engineering",501-1000,NVTA,https://www.crunchbase.com/ipo/invitae-corporation-ipo--740f65a0,-0.6,4,-0.6,5833421,USD,5833421,624119,USD,624119,147552,USD,147552,14,Made Acquisitions,2.3,43,0%,4,,0%,113,"575,363","703,493.33",28.25%,"107,201","-17,247",-13.86%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2022-07-19,2513527,USD,2513527,8,IPO,2021-04-05,1150000000,USD,1150000000,Post-IPO Debt,1989502111,USD,1989502111
AtoB,https://www.crunchbase.com/organization/atob,"FinTech, Payments, Sustainability, Transportation","San Francisco, California, United States",AtoB is a technology company building payments infrastructure for the transportation industry.,https://www.atob.com,2019-09-01,month,"Financial Services, Payments, Sustainability, Transportation",51-100,,,-0.2,-1.1,-0.3,,,,,,,,,,,,,8,0%,,,0%,91,"282,701","256,958.83",24.49%,"181,523","-24,298",-11.81%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,,,,,5,Early Stage Venture,2022-08-16,80000000,USD,80000000,Debt Financing,257000000,USD,257000000
Truepill,https://www.crunchbase.com/organization/truepill,"Health Care, Medical, mHealth, Pharmaceutical","Hayward, California, United States",Truepill provides an API-connected healthcare infrastructure designed to revolutionize the patient experience.,https://www.truepill.com/,2016-01-01,year,"Health Care, Mobile",251-500,,,-0.4,-0.4,-0.7,,,,,,,,,,,,0.4,15,-6.25%,,,0%,82,"77,256","51,348.67",93.49%,"468,933","-242,814",-34.12%,"San Francisco Bay Area, Silicon Valley, West Coast",$100M to $500M,Active,2022-09-29,,,,7,Late Stage Venture,2021-10-27,142000000,USD,142000000,Series D,255400000,USD,255400000
Pollen,https://www.crunchbase.com/organization/streetteam-software,"Events, Marketing, Marketplace, Ticketing, Travel","London, England, United Kingdom","Pollen is an invite-only marketplace, using influencer marketing for experiences and events.",https://pollen.co,2014-01-01,year,"Commerce and Shopping, Events, Media and Entertainment, Sales and Marketing, Travel and Tourism",501-1000,,,-0.3,-1.5,-1.1,,,,,,,,,,3,Made Acquisitions,1.3,,,1,,0%,27,"3,683","123,566.17",-72.16%,"3,338,406","1,814,701",119.1%,,$10M to $50M,Active,2020-06-02,,,,5,Late Stage Venture,2022-04-20,124000000,GBP,162048078,Series C,250548079,USD,250548079
VOI Technology,https://www.crunchbase.com/organization/voi-technology,"Electric Vehicle, Public Transportation, Rental, Transportation","Stockholm, Stockholms Lan, Sweden",Voi is a micro-mobility startup that provides electric scooters for last-mile transportation.,https://www.voiscooters.com,2018-01-01,year,"Commerce and Shopping, Transportation",501-1000,,,-0.6,-0.2,7.1,,,,,,,,,,,,1.4,16,0%,,,0%,40,"8,005","208,898.33",-75.97%,"2,069,451","1,261,751",156.22%,"European Union (EU), Nordic Countries, Scandinavia",$10M to $50M,Active,2022-12-08,,,,10,Late Stage Venture,2022-02-28,,,,Secondary Market,515598625,USD,515598625
Vroom,https://www.crunchbase.com/organization/vroom-com,"Automotive, E-Commerce, Marketing, Sales","New York, New York, United States","Vroom is an innovative, end-to-end ecommerce platform designed to offer a better way to buy and sell used vehicles.",https://www.vroom.com/,2013-01-01,year,"Commerce and Shopping, Sales and Marketing, Transportation",501-1000,VRM,https://www.crunchbase.com/ipo/vroom-com-ipo--a34dce85,-0.4,6.2,3,2638102,USD,2638102,349909,USD,349909,80497,USD,80497,3,Made Acquisitions,1.9,30,0%,,,0%,74,"1,031,024","2,367,342",-39.37%,"68,282","23,974",54.11%,"Greater New York Area, East Coast, Northeastern US",$500M to $1B,Active,2022-05-16,1282164,USD,1282164,10,IPO,2020-09-10,588600000,USD,588600000,Post-IPO Equity,1309850000,USD,1309850000
Livspace,https://www.crunchbase.com/organization/livspace,"E-Commerce, Furniture, Interior Design","Bengaluru, Karnataka, India","Livspace is an home interiors and improvement that connects people to designers, services, and products.",http://www.livspace.com,2014-01-01,year,"Commerce and Shopping, Consumer Goods, Design, Real Estate",1001-5000,,,-0.9,-2.1,-1.3,,,,,,,,,,4,Made Acquisitions,,35,0%,,,0%,123,"1,416,937","1,505,195",-46.63%,"53,188","22,577",73.75%,Asia-Pacific (APAC),,Active,2020-05-19,,,,10,Late Stage Venture,2022-02-07,13430000000,INR,179885638,Series F,431577146,USD,431577146
Starry,https://www.crunchbase.com/organization/starry-2,"Hardware, Internet, Network Hardware, Wireless","Boston, Massachusetts, United States",Starry is an internet company that creates easy-to-use Wi-Fi products and radical ways to get Internet service.,https://starry.com/,2014-01-01,year,"Hardware, Internet Services, Mobile",251-500,STRY,https://www.crunchbase.com/ipo/starry-2-ipo--0cbc5069,-0.6,4,-1.9,1015424,USD,1015424,162546,USD,162546,30648,USD,30648,,,2,33,0%,0,,0%,68,"138,180","234,541.67",-35.47%,"307,883","93,083",43.33%,"Greater Boston Area, East Coast, New England",$100M to $500M,Active,2023-01-18,337968,USD,337968,5,IPO,2022-03-29,150000000,USD,150000000,Post-IPO Debt,410000000,USD,410000000
Kueski,https://www.crunchbase.com/organization/kueski,"Finance, Financial Services, FinTech, Lending, Payments, Personal Finance","Guadalajara, Jalisco, Mexico","Kueski is the one of the largest buy now, pay later (BNPL) and online consumer lending companies in Latin America.",https://kueski.com,2012-12-07,day,"Financial Services, Payments",501-1000,,,-0.2,6.3,0.6,,,,,,,,,,,,1.5,60,0%,,,0%,103,"2,969,886","2,496,819.5",2.89%,"28,910",341,1.19%,Latin America,,Active,,,,,11,,2022-10-21,23290593,USD,23290593,Venture - Series Unknown,323327426,USD,323327426
Relativity,https://www.crunchbase.com/organization/kcura,"Ediscovery, Enterprise Software, Legal, Legal Tech","Chicago, Illinois, United States","Relativity's makes software to manage large volumes of data and identify key issues during litigation, investigations, and compliance.",http://www.relativity.com,2001-01-01,year,"Internet Services, Professional Services, Software",1001-5000,,,-0.7,-0.8,-0.3,6420538,USD,6420538,1067057,USD,1067057,225408,USD,225408,4,Made Acquisitions,0,35,0%,,,0%,54,"100,081","176,029.67",3.61%,"389,134","7,109",1.86%,"Greater Chicago Area, Great Lakes, Midwestern US",$100M to $500M,Active,2022-12-07,1688065,USD,1688065,2,Private Equity,2021-03-18,,,,Private Equity,125000000,USD,125000000
SpotHero,https://www.crunchbase.com/organization/spothero,"Consumer, Developer APIs, Marketplace, Mobile Apps, Parking, Transportation","Chicago, Illinois, United States",Leading & only independent consumer marketplace for parking in North America.,http://www.spothero.com,2011-07-01,day,"Apps, Commerce and Shopping, Mobile, Other, Software, Transportation",101-250,,,-0.5,4,2.3,380472,USD,380472,23102,USD,23102,13934,USD,13934,3,Made Acquisitions,1.9,93,0%,4,"245,391",0%,39,"1,714,716","2,151,271.83",-9.23%,"45,533","5,015",12.38%,"Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,,211704,USD,211704,9,Late Stage Venture,2019-08-22,50000000,USD,50000000,Series D,117610000,USD,117610000
Bizongo,https://www.crunchbase.com/organization/bizongo,"B2B, E-Commerce, Packaging Services, Supply Chain Management","Mumbai, Maharashtra, India","Bizongo develops a tech-enabled B2B platform for packaging, apparel, and other customized goods.",https://bizongo.com,2015-01-01,year,"Administrative Services, Commerce and Shopping, Other, Transportation",251-500,,,5.3,2.5,4.7,,,,,,,,,,2,Made Acquisitions,,25,0%,2,,0%,32,"48,454","36,016.67",39.4%,"656,380","-128,732",-16.4%,Asia-Pacific (APAC),,Active,,,,,11,Late Stage Venture,2022-08-03,25000000,USD,25000000,Debt Financing,265314603,USD,265314603
Dock,https://www.crunchbase.com/organization/conductor-4,"Credit Cards, Financial Services, FinTech, Information Technology, Payments","São Paulo, Sao Paulo, Brazil",Dock is a provider of a financial technology company that integrates card issuing and core banking services.,https://dock.tech/,2014-01-01,year,"Financial Services, Information Technology, Lending and Investments, Payments",1001-5000,,,-0.5,5.5,5.3,,,,,,,,,,3,Made Acquisitions,,11,0%,,,0%,29,"131,859","195,120.5",-30.58%,"318,558","83,934",35.77%,Latin America,$10M to $50M,Active,,,,,4,Private Equity,2022-05-12,110000000,USD,110000000,Private Equity,280000000,USD,280000000
Taboola,https://www.crunchbase.com/organization/taboola,"Advertising, Artificial Intelligence, Content Discovery, Content Marketing","New York, New York, United States",Taboola is an AI-powered content discovery platform that connects people with content on the web that suits their interests.,https://www.taboola.com,2007-01-01,year,"Advertising, Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",1001-5000,TBLA,https://www.crunchbase.com/ipo/taboola-ipo--ce7a79fb,-2.4,-4.6,3.7,3285110,USD,3285110,545967,USD,545967,115332,USD,115332,6,Made Acquisitions,,78,0%,3,6,0%,100,"848,714,292","348,408,692.5",145.58%,72,-134,-65.05%,"Greater New York Area, East Coast, Northeastern US",$1B to $10B,Active,2022-09-14,863710,USD,863710,9,IPO,2022-11-28,,,,Post-IPO Equity,445000000,USD,445000000
Care.com,https://www.crunchbase.com/organization/care-com,"Child Care, Elder Care, Tutoring","Waltham, Massachusetts, United States","Care.com is an online web portal for finding suitable caregiver services for child care, senior care, housekeeping, pet care, and more.",http://www.care.com,2006-10-01,day,"Education, Health Care",501-1000,CRCM,https://www.crunchbase.com/ipo/care-com-ipo--6ee4eb7f,0.6,0.4,1.6,,,,,,,,,,8,"Made Acquisitions, Was Acquired",1.4,51,-1.92%,0,,0%,78,"4,828,837","13,351,137.67",10.98%,"19,155","-1,113",-5.49%,"Greater Boston Area, East Coast, New England",$100M to $500M,Active,2020-05-01,,,,7,M&A,2016-06-29,46350000,USD,46350000,Post-IPO Equity,156850000,USD,156850000
Wave,https://www.crunchbase.com/organization/wave-financial,"Accounting, Apps, Cloud Computing, Financial Services, FinTech, Human Resources, Mobile, Payments, Small and Medium Businesses, Software","Toronto, Ontario, Canada","Wave offers tailored financial services (payments, payroll) and award-winning free software for small/micro-businesses around the world.",http://www.waveapps.com,2009-07-01,month,"Administrative Services, Apps, Financial Services, Internet Services, Mobile, Other, Payments, Professional Services, Software",251-500,,,4.3,1.7,2.8,,,,,,,,,,1,"Made Acquisitions, Was Acquired",1.5,35,2.94%,0,,0%,74,"6,052,390","5,168,609.83",-4.4%,"15,645","1,047",7.17%,Great Lakes,$10M to $50M,Active,,,,,11,M&A,2017-05-30,24000000,USD,24000000,Series D,79751426,USD,79751426
Flexport,https://www.crunchbase.com/organization/flexport,"Freight Service, Logistics, Shipping, Software, Supply Chain Management","San Francisco, California, United States",Flexport is a full-service global freight forwarder and logistics platform using modern software to fix the user experience in global trade.,https://www.flexport.com,2013-01-01,year,"Software, Transportation",1001-5000,,,-2.7,-1.2,-3.2,33440930,USD,33440930,10621237,USD,10621237,2606353,USD,2606353,2,Made Acquisitions,1.9,54,-3.57%,,,0%,46,"281,208","433,401.33",3.33%,"182,315","2,339",1.3%,"San Francisco Bay Area, West Coast, Western US",$1B to $10B,Active,2023-01-11,9089562,USD,9089562,18,Early Stage Venture,2022-10-20,200000000,USD,200000000,Debt Financing,2439000000,USD,2439000000
Adwerx,https://www.crunchbase.com/organization/adwerx,"Advertising, Online Portals, Real Estate","Durham, North Carolina, United States","Adwerx platform allows firms to automate digital advertising, including Real Estate, Mortgage, Insurance, Finance, and other verticals.",http://www.adwerx.com,2013-01-01,year,"Advertising, Internet Services, Real Estate, Sales and Marketing",101-250,,,4.9,9.6,9.6,977870,USD,977870,156534,USD,156534,29515,USD,29515,,,,39,0%,,,0%,133,"35,558","59,411.5",17.42%,"811,744","-48,605",-5.65%,"Research Triangle, East Coast, Southern US",$10M to $50M,Active,2022-07-11,325469,USD,325469,6,,2023-01-23,1286001,USD,1286001,Venture - Series Unknown,21686001,USD,21686001
Aura Financial,https://www.crunchbase.com/organization/insikt-inc-,"Banking, Financial Services, FinTech, Lending, Software","San Francisco, California, United States","Aura is a financial service company that provides affordable, credit-building loans to working families.",http://myaura.com,2012-01-01,year,"Financial Services, Lending and Investments, Software",101-250,,,-0.3,-0.4,0,,,,,,,,,,,,0.4,13,0%,,,0%,13,,,,,,,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,,,,,14,,2020-03-05,10000000,USD,10000000,Debt Financing,584700000,USD,584700000
Grin,https://www.crunchbase.com/organization/grin-inc,"Analytics, E-Commerce, Marketing, Social Media Marketing","Sacramento, California, United States",GRIN is a marketing software that enables direct-to-consumer brands to collaborate and manage their relationships with influencers.,https://grin.co,2014-01-01,year,"Commerce and Shopping, Data and Analytics, Sales and Marketing",251-500,,,0,-0.2,0.6,98129,USD,98129,34478,USD,34478,8461,USD,8461,1,Made Acquisitions,0,57,0%,13,,0%,123,"335,112","2,354,917.83",-30.74%,"160,157","42,393",36%,"West Coast, Western US",$1M to $10M,Active,,29506,USD,29506,6,Early Stage Venture,2021-10-13,110000000,USD,110000000,Series B,145260000,USD,145260000
Absci,https://www.crunchbase.com/organization/absci,"Artificial Intelligence, Biopharma, Biotechnology, Life Science","Vancouver, Washington, United States",Absci is the drug & target discovery company harnessing deep learning AI & synthetic biology to expand the therapeutic potential of proteins,https://www.absci.com,2011-01-01,year,"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",101-250,ABSI,https://www.crunchbase.com/ipo/absci-ipo--e256e3f6,1.6,8.2,4.1,1303838,USD,1303838,414114,USD,414114,101620,USD,101620,2,Made Acquisitions,1.9,25,0%,,,0%,67,"6,496","8,378.5",-71.92%,"2,334,762","1,304,761",126.68%,"West Coast, Western US",$10M to $50M,Active,2022-08-09,354395,USD,354395,10,IPO,2021-03-23,125000000,USD,125000000,Venture - Series Unknown,237859989,USD,237859989
Vedantu,https://www.crunchbase.com/organization/vedantu-innovations,"E-Learning, EdTech, Education, Tutoring","Bangalore, Karnataka, India",Vedantu is an interactive online tutoring platform for students.,http://www.vedantu.com/,2011-10-29,day,"Education, Software",501-1000,,,-1.9,-3.3,-1.3,,,,,,,,,,3,Made Acquisitions,0.7,42,0%,,"513,876",0%,89,"18,983,677","16,993,617.17",1.57%,"5,491",188,3.55%,Asia-Pacific (APAC),$10M to $50M,Active,2022-12-07,,,,11,Late Stage Venture,2022-02-24,2000000,USD,2000000,Series E,292886532,USD,292886532
ByteDance,https://www.crunchbase.com/organization/bytedance,"Content, Data Mining, Internet, Social Media","Shanghai, Shanghai, China",ByteDance is an internet technology company that operates creative content platforms.,http://bytedance.com,2012-03-01,month,"Data and Analytics, Information Technology, Internet Services, Media and Entertainment",10001+,,,-2.1,-1.7,0,,,,,,,,,,14,Made Acquisitions,0.4,29,0%,,,0%,52,"1,011,158","8,788,350.5",-12.08%,"69,354","8,780",14.49%,Asia-Pacific (APAC),$10B+,Active,2023-01-03,,,,12,Private Equity,2020-12-11,2000000000,USD,2000000000,Private Equity,9405000000,USD,9405000000
Happy Money,https://www.crunchbase.com/organization/happymoney,"Finance, Financial Services, FinTech, Payments, Personal Finance","Tustin, California, United States",Happy Money offers financial tools and services for human happiness.,https://www.happymoney.com,2009-01-01,day,"Financial Services, Payments",251-500,,,4.2,2.3,7.1,,,,,,,,,,,,2,25,0%,,,0%,87,"316,731","715,019",12.22%,"166,977","-8,371",-4.77%,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,,,,,7,Late Stage Venture,2022-02-08,50000000,USD,50000000,Series D,191561341,USD,191561341
Segment,https://www.crunchbase.com/organization/segment-io,"Analytics, Big Data, Cloud Computing, Infrastructure, SaaS","San Francisco, California, United States",Segment provides customer data infrastructure that helps businesses put their customers first.,http://segment.com,2011-09-01,month,"Data and Analytics, Internet Services, Other, Software",501-1000,,,0.4,-0.5,-0.4,337259,USD,337259,56051,USD,56051,11840,USD,11840,,Was Acquired,1.5,108,0%,1,,0%,77,"379,145","4,755,335.5",-52.71%,"146,096","65,975",82.34%,"San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,,88671,USD,88671,9,M&A,2020-01-22,,,,Secondary Market,283720000,USD,283720000
Groupon,https://www.crunchbase.com/organization/groupon,"E-Commerce, Internet, Retail, Social Media","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,http://www.groupon.com,2007-01-01,year,"Commerce and Shopping, Internet Services, Media and Entertainment",5001-10000,GRPN,https://www.crunchbase.com/ipo/groupon-ipo--78f38c4e,-0.3,-0.7,3.7,109322578,USD,109322578,18168786,USD,18168786,3838026,USD,3838026,42,Made Acquisitions,3.3,95,0%,12,"922,665",0%,119,"29,801,937","43,417,240.5",6.94%,"3,401",-154,-4.33%,"Greater Chicago Area, Great Lakes, Midwestern US",$100M to $500M,Active,2022-08-08,28742710,USD,28742710,8,IPO,2019-12-30,,,,Post-IPO Equity,1387000000,USD,1387000000
EBANX,https://www.crunchbase.com/organization/ebanx,"E-Commerce, Financial Services, FinTech, Payments","Curitiba, Parana, Brazil",EBANX is an integrated financial services company offering an end-to-end payment solution across the entire e-commerce transaction flow.,https://business.ebanx.com/en/,2012-02-01,month,"Commerce and Shopping, Financial Services, Payments",501-1000,,,-0.3,6.6,-0.5,,,,,,,,,,3,Made Acquisitions,,,,1,,0%,139,,,,,,,Latin America,$50M to $100M,Active,,,,,3,Early Stage Venture,2021-06-15,430000000,USD,430000000,Series B,460000000,USD,460000000
Klarna,https://www.crunchbase.com/organization/klarna,"E-Commerce, FinTech, Payments, Shopping","Stockholm, Stockholms Lan, Sweden",Klarna is an e-commerce payment solutions platform for merchants and shoppers.,http://www.klarna.com,2005-02-01,month,"Commerce and Shopping, Financial Services, Payments",5001-10000,,,0.8,0,0.2,4318498,USD,4318498,12814,USD,12814,1192,USD,1192,14,Made Acquisitions,2.4,47,-2.08%,5,"2,983,774",0%,93,"39,248,400","40,984,920.5",-6.1%,"2,544",228,9.84%,"European Union (EU), Nordic Countries, Scandinavia",$1B to $10B,Active,2022-09-22,21804,USD,21804,31,,2022-07-11,800000000,USD,800000000,Venture - Series Unknown,4548376760,USD,4548376760
GetYourGuide,https://www.crunchbase.com/organization/getyourguide,"Consumer Reviews, E-Commerce, Hospitality, Recreation, Tourism, Travel","Berlin, Berlin, Germany","GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide.",https://www.getyourguide.com/,2009-01-01,year,"Commerce and Shopping, Sports, Travel and Tourism",501-1000,,,0.6,-1.1,1.5,,,,,,,,,,3,Made Acquisitions,,59,0%,3,"828,506",0%,46,"9,718,501","12,170,102.83",11.83%,"10,277",-699,-6.37%,European Union (EU),$50M to $100M,Active,2020-10-19,,,,12,Late Stage Venture,2021-02-16,80000000,EUR,96705953,Debt Financing,886168934,USD,886168934
Sea,https://www.crunchbase.com/organization/garena,"E-Commerce, Messaging, Mobile, Payments","Singapore, Central Region, Singapore",Sea is the leading consumer internet company in Southeast Asia and Taiwan.,https://www.sea.com/home,2009-01-01,year,"Commerce and Shopping, Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Payments",5001-10000,SE,https://www.crunchbase.com/ipo/garena-ipo--c3de6d43,-0.6,6.4,3.6,,,,,,,,,,3,Made Acquisitions,2,14,0%,1,"10,915",0%,61,"187,524","266,185.83",-18.96%,"245,624","42,536",20.94%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",$1B to $10B,Active,2022-11-14,,,,10,IPO,2021-09-09,3500000000,USD,3500000000,Post-IPO Equity,8647000000,USD,8647000000
Stream,https://www.crunchbase.com/organization/getstream-io,"Communications Infrastructure, Developer APIs, Messaging, Mobile Apps, SaaS, Software","Boulder, Colorado, United States",Stream builds chat and feeds for applications at scale in a fraction of the time and cost of developing in-house.,https://getstream.io/,2014-08-01,day,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",101-250,,,6.2,-0.4,-0.2,,,,,,,,,,,,,50,0%,1,,0%,69,"337,173","428,587.17",35.4%,"159,356","-32,977",-17.15%,"Greater Denver Area, Western US",$10M to $50M,Active,,,,,6,Early Stage Venture,2021-03-04,38000000,USD,38000000,Series B,58058000,USD,58058000
Skillz,https://www.crunchbase.com/organization/skillz,"Developer Platform, eSports, Software, Video Games","San Francisco, California, United States",Skillz is a marketplace platform for competition-based mobile games.,http://www.skillz.com,2012-04-01,day,"Gaming, Software, Sports",101-250,SKLZ,https://www.crunchbase.com/ipo/skillz-ipo--729b8a09,-0.6,0,5.6,2295089,USD,2295089,381431,USD,381431,80575,USD,80575,1,Made Acquisitions,0.7,50,0%,2,,0%,48,"13,511,461","8,341,668",-18.23%,"7,582","1,538",25.45%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2022-05-23,603417,USD,603417,11,IPO,2020-09-02,159000000,USD,159000000,Post-IPO Equity,287300000,USD,287300000
